min,max,avg
11.0,11.0,11.0
1728.1818181818182,6009.090909090909,3868.5454545454545
2082.8733431575633,5028.4101951719385,2554.714753691158
75.0,600.0,492.0
367.5,2650.0,2350.0
500.0,4000.0,3250.0
2600.0,8100.0,4987.5
7000.0,18000.0,9250.0
